Matched name	Primary name	Type	Identifier	Peaktime	rank	Phenotypes
TUBA4A	TUBA4A	Homo sapiens gene	ENSP00000248437	G2	169	
CYP1B1	CYP1B1	Homo sapiens gene	ENSP00000260630	non-periodic	170	
BMP2	BMP2	Homo sapiens gene	ENSP00000368104	G2/M	171	
DYNLL1	DYNLL1	Homo sapiens gene	ENSP00000242577	G1	172	
GRPEL1	GRPEL1	Homo sapiens gene	ENSP00000264954	G1	173	
ZRANB2	ZRANB2	Homo sapiens gene	ENSP00000359958	G1	174	
RGS3	RGS3	Homo sapiens gene	ENSP00000259406	G2	175	
PCBP1	PCBP1	Homo sapiens gene	ENSP00000305556	G2	176	
IDO1	IDO1	Homo sapiens gene	ENSP00000430505	M	177	
MBOAT1	MBOAT1	Homo sapiens gene	ENSP00000324944	G1/S	178	
GAS2L3	GAS2L3	Homo sapiens gene	ENSP00000266754	G2/M	179	
BIRC2	BIRC2	Homo sapiens gene	ENSP00000227758	M	180
VANGL1	VANGL1	Homo sapiens gene	ENSP00000310800	M	181	
KIF14	KIF14	Homo sapiens gene	ENSP00000356319	G2/M	182	G2/M, M
TUBB4B	TUBB4B	Homo sapiens gene	ENSP00000341289	G2	183	M
GINS2	GINS2	Homo sapiens gene	ENSP00000253462	G1/S	184	
TUBA3D	TUBA3D	Homo sapiens gene	ENSP00000326042	G2	185	
GAS6	GAS6	Homo sapiens gene	ENSP00000331831	M	186	
OPN3	OPN3	Homo sapiens gene	ENSP00000355512	G1	187	
KMO	KMO	Homo sapiens gene	ENSP00000355517	G1	188	
DNAJB1	DNAJB1	Homo sapiens gene	ENSP00000254322	M	189	
SPAG5	SPAG5	Homo sapiens gene	ENSP00000323300	M	190	
GOLGA8A	GOLGA8A	Homo sapiens gene	ENSP00000352111	G2	191	
CASP3	CASP3	Homo sapiens gene	ENSP00000311032	G2	192	
WSB1	WSB1	Homo sapiens gene	ENSP00000262394	G2	193	
STK17B	STK17B	Homo sapiens gene	ENSP00000263955	G2	194	
BTBD3	BTBD3	Homo sapiens gene	ENSP00000367471	M	195	
MSL1	MSL1	Homo sapiens gene	ENSP00000462945	G1	196	
DONSON	DONSON	Homo sapiens gene	ENSP00000307143	G1/S	197	
DHFRL1	DHFRL1	Homo sapiens gene	ENSP00000319170	S	198	
PRR11	PRR11	Homo sapiens gene	ENSP00000262293	M	199	
HMGB3	HMGB3	Homo sapiens gene	ENSP00000359393	M	200
NXF1	NXF1	Homo sapiens gene	ENSP00000294172	G1	201	G1
GMNN	GMNN	Homo sapiens gene	ENSP00000230056	G1/S	202	
XPO4	XPO4	Homo sapiens gene	ENSP00000255305	M	203	
